Date,Time,Site,Tracker_ID,ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water,Comments
15/01/2024,9:32,1,LD,97,2991-40536,Red/White,Blue/Metal,Male,01-15-2024 NOCA 118,45.43022,-73.93822,187,40,200,UP,NEW,-6,9,50,0,26,1,2,
15/01/2024,9:46,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,01-15-2024 NOCA 99,45.43018,-73.93822,206,30,208,STRAIGHT,NEW,-6,9,50,0,26,1,2,
15/01/2024,9:46,1,LD,116,2991-40569,Brown/Black,Metal/Red,Female,01-15-2024 NOCA 99,45.43018,-73.93822,202,30,208,STRAIGHT,NEW,-6,9,50,0,26,1,2,
15/01/2024,11:06,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,01-15-2024 NOCA 120,45.43092,-73.93833,214,30,283,STRAIGHT,NEW,-6,17,70,0,26,1,2,
22/01/2024,10:54,1,LD,116,2991-40569,Brown/Black,Metal/Red,Female,01-22-2024 NOCA 124,45.43,-73.9385,220,30,90,STRAIGHT,NEW,-4,24,10,0,26,1,2,"Caught by banders at the feeders, point taken while in bird bag"
22/01/2024,11:10,1,LD,97,2991-40536,Red/White,Blue/Metal,Male,01-22-2024 NOCA 97,45.42993,-73.93845,213,30,66,STRAIGHT,NEW,-3,26,40,0,26,1,2,
22/01/2024,11:20,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,01-22-2024 NOCA 104,45.42994,-73.93845,210,30,155,STRAIGHT,NEW,-3,26,70,0,26,1,2,
25/01/2024,13:12,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,01-25-2024 NOCA 118,45.43003,-73.93852,221,30,133,UP,NEW,0,0,100,0,29,2,3,
29/01/2024,9:50,1,LD,116,2991-40569,Brown/Black,Metal/Red,Female,01-29-2024 NOCA 116,45.4301,-73.93826,215,40,254,STRAIGHT,NEW,-1,17,100,0,25,4,1,
29/01/2024,9:50,1,LD,97,2991-40536,Red/White,Blue/Metal,Male,01-29-2024 NOCA 116,45.4301,-73.93826,235,30,254,STRAIGHT,NEW,-1,17,100,0,25,4,1,
29/01/2024,10:22,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,01-29-2024 NOCA 124,45.43003,-73.9388,204,30,309,UP,NEW,0,16,100,0,25,4,1,
02/02/2024,14:19,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,02-02-2024 NOCA 104,45.4132,-73.92882,203,40,325,STRAIGHT,NEW,-1,15,90,0,24,2,1,
02/02/2024,15:45,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,02-02-2024 NOCA 120,45.43798,-73.93169,216,30,179,UP,NEW,-1,15,100,0,24,2,1,"Lebeau/Tremblay street, neighborhood east of MBO (MBO snow measurements)"
07/02/2024,13:31,1,LD,97,2991-40536,Red/White,Blue/Metal,Male,02-07-2024 NOCA 97,45.43043,-73.93797,226,30,26,STRAIGHT,NEW,-2,2,60,0,23,3,1,
07/02/2024,13:37,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,02-07-2024 NOCA 121,45.43024,-73.93822,206,30,163,STRAIGHT,NEW,-2,2,60,0,23,3,1,
07/02/2024,14:24,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,02-07-2024 NOCA 104,45.42998,-73.93848,232,30,89,STRAIGHT,NEW,-2,0,80,0,23,3,1,
07/02/2024,15:19,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,02-07-2024 NOCA 120,45.43815,-73.93144,204,40,0,STRAIGHT,NEW,-2,6,80,0,23,3,1,"Lebeau/Tremblay street, neighborhood east of MBO (MBO snow measurements)"
12/02/2024,10:54,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,NA,45.42993,-73.93852,201,40,245,UP,NEW,1,13,80,0,12,1,1,GPS points taken with phone
12/02/2024,10:54,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,NA,45.42993,-73.93852,206,40,245,UP,NEW,1,13,80,0,12,1,1,GPS points taken with phone
12/02/2024,11:11,1,LD,97,2991-40536,Red/White,Blue/Metal,Male,NA,45.42994,-73.93871,201,30,324,UP,NEW,1,9,80,0,12,1,1,Found dead under a tree at MBO (predation). Tag was removed. GPS points taken with phone.
14/02/2024,15:25,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,NA,45.43822,-73.9311,204,30,355,UP,NEW,-6,28,0,0,8,3,1,"Lebeau/Tremblay street, neighborhood east of MBO (MBO snow measurements), GPS points taken with phone"
18/02/2024,9:19,1,BF,120b,2991-04521,Blue/White,Metal/Red,Female,NA,45.436936,-73.930141,162,50,NA,NA,NEW,-10,29,100,30,NA,NA,NA,Located at Barbara's feeders.
22/02/2024,12:52,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,02-22-2024 NOCA 127,45.42966,-73.93817,231,30,83,UP,NEW,0,12,60,0,8,1,3,
22/02/2024,12:52,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,02-22-2024 NOCA 127,45.42966,-73.93817,215,30,83,UP,NEW,0,12,60,0,8,1,3,
26/02/2024,9:14,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,02-26-2024 NOCA 104,45.42961,-73.93842,212,30,228,STRAIGHT,NEW,2,17,100,0,5,1,2,
26/02/2024,13:08,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,02-26-2024 NOCA 118,45.42978,-73.93758,145,30,330,UP,OLD,5,20,10,0,5,1,2,Moving a lot near the feeders.
27/02/2024,13:53,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,02-27-2024 NOCA 120,45.43805,-73.93082,203,40,78,UP,NEW,14,13,5,0,0,1,3,large patches of snow away from meter stick
27/02/2024,14:43,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,02-27-2024 NOCA 118,45.43135,-73.93853,207,40,28,UP,NEW,13,15,0,0,0,1,3,large patches of snow away from meter stick
27/02/2024,14:58,1,LD,116,2991-40569,Brown/Black,Metal/Red,Female,02-27-2024 NOCA 116,45.43121,-73.93874,200,50,351,STRAIGHT,NEW,13,15,0,0,0,1,3,Moving a lot near snow measurement pole
01/03/2024,13:17,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,03-01-2024 NOCA 118,45.43076,-73.93825,211,30,278,STRAIGHT,NEW,-2,11,60,0,0,3,1,large patches of snow away from meter stick
04/03/2024,10:03,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,03-04-2024 NOCA 118,45.42867,-73.93786,204,30,33,UP,NEW,3,6,80,0,0,1,3,some patches of snow away from meter stick
05/03/2024,10:28,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,03-05-2024 NOCA 104,45.42796,-73.93755,122,50,132,UP,OLD,9,10,30,0,0,0,0,"Some patches of snowy ice all around but most of the ground seems to be uncovered now. The bird's signal was coming from the ecomuseum, the point was taken near the fence."
05/03/2024,11:08,1,AMC,116,2991-40569,Brown/Black,Metal/Red,Female,03-05-2024 NOCA 116,45.42969,-73.93919,147,30,103,STRAIGHT,OLD,11,10,40,0,0,0,0,Bird was found deep in bushes (had to fight my way through vegetation).
07/03/2024,9:43,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,03-07-2024 NOCA 120,45.43653,-73.93424,241,20,230,STRAIGHT,NEW,3,24,50,0,0,0,0,In a strip of trees separating 2 farm fields near Barbara's neighbourhood
