"","ID","Site","randLat","randLon","Winter","Mean_Veg_Height_25_m","Mean_Veg_Height_50_m","Mean_Veg_Height_100_m","Mean_Veg_Height_200_m","Sd_Veg_Height_25_m","Sd_Veg_Height_50_m","Sd_Veg_Height_100_m","Sd_Veg_Height_200_m","mean_Pop_Dens_25_m","mean_Pop_Dens_50_m","mean_Pop_Dens_100_m","mean_Pop_Dens_200_m","mean_Single_House_25_m","mean_Single_House_50_m","mean_Single_House_100_m","mean_Single_House_200_m","mean_Semi_Detached_House_25_m","mean_Semi_Detached_House_50_m","mean_Semi_Detached_House_100_m","mean_Semi_Detached_House_200_m","mean_Row_House_25_m","mean_Row_House_50_m","mean_Row_House_100_m","mean_Row_House_200_m","mean_App_Duplex_25_m","mean_App_Duplex_50_m","mean_App_Duplex_100_m","mean_App_Duplex_200_m","mean_App_Less_5_Storeys_25_m","mean_App_Less_5_Storeys_50_m","mean_App_Less_5_Storeys_100_m","mean_App_Less_5_Storeys_200_m","mean_App_Over_5_Storeys_25_m","mean_App_Over_5_Storeys_50_m","mean_App_Over_5_Storeys_100_m","mean_App_Over_5_Storeys_200_m","sd_Pop_Dens_25_m","sd_Pop_Dens_50_m","sd_Pop_Dens_100_m","sd_Pop_Dens_200_m","sd_Single_House_25_m","sd_Single_House_50_m","sd_Single_House_100_m","sd_Single_House_200_m","sd_Semi_Detached_House_25_m","sd_Semi_Detached_House_50_m","sd_Semi_Detached_House_100_m","sd_Semi_Detached_House_200_m","sd_Row_House_25_m","sd_Row_House_50_m","sd_Row_House_100_m","sd_Row_House_200_m","sd_App_Duplex_25_m","sd_App_Duplex_50_m","sd_App_Duplex_100_m","sd_App_Duplex_200_m","sd_App_Less_5_Storeys_25_m","sd_App_Less_5_Storeys_50_m","sd_App_Less_5_Storeys_100_m","sd_App_Less_5_Storeys_200_m","sd_App_Over_5_Storeys_25_m","sd_App_Over_5_Storeys_50_m","sd_App_Over_5_Storeys_100_m","sd_App_Over_5_Storeys_200_m"
"21","107",6,45.4546610336421,-73.6424352589935,2,6.36999397120292,6.46026738488075,6.96426011875654,7.82466180144459,4.76227200855871,4.50927912048028,5.63919303747727,7.35142292758887,4254,4954.2,8394.4,9889.79019607843,50,57.5,48.0769230769231,48.6274509803922,70,72.5,61.1538461538462,46.6666666666667,0,0,0,0.490196078431373,85,47.5,46.1538461538462,40,45,75,72.6923076923077,79.9019607843137,0,0,56.9230769230769,72.5490196078431,0,990.232336373641,8578.819712136,9117.66736206701,0,10.6066017177982,22.5035609717719,38.0273379474892,0,3.53553390593274,27.2453242283459,32.1195682826944,0,0,0,1.50163309792516,0,53.0330085889911,37.5917680568635,33.1511689085016,0,42.4264068711929,28.6222076232909,44.0623444233104,0,0,138.94750899678,148.362301643711
"22","107",6,45.4624418493802,-73.6413318600374,2,8.44054911209352,7.62344378567296,6.90330519247122,6.45902822128715,6.51768472854212,5.90868690224973,5.8459593560629,6.10514991725207,4970,4970,5460.26923076923,6654.59615384615,65,65,60,47.8846153846154,125,125,115.384615384615,90.5769230769231,0,0,0,0,30,30,37.3076923076923,58.8461538461538,30,30,31.5384615384615,52.9807692307692,0,0,15.3846153846154,41.1538461538461,0,0,1767.69085032075,2719.98729242717,0,0,18.0277563773199,27.8361127034183,0,0,34.6687622640768,55.7889391503672,0,0,0,0,0,0,26.3482593206984,50.8709958641578,0,0,5.54700196225229,59.9612588602221,0,0,55.4700196225229,78.8185766436615
"23","107",6,45.460839650851,-73.644315103232,2,4.95588402732881,2.86799449852657,2.85587161980397,3.95763633620369,3.45467218966235,3.79902018854376,4.22439403224192,5.07408576656946,4300,3797.325,3681.32307692308,4944.88039215686,35,33.75,33.4615384615385,30.5882352941176,65,72.5,74.2307692307692,67.156862745098,0,0,0,0,110,86.25,80.7692307692308,81.8627450980392,90,76.25,73.0769230769231,65,0,0,0,31.3725490196079,0,1005.35,965.909036567666,2932.68211588093,0,2.5,2.40192230707631,15.95766457924,0,15,14.4115338424578,34.5435218523066,0,0,0,0,0,47.5,45.6365238344498,45.6832659112035,0,27.5,26.4211453778394,26.3248931621764,0,0,0,73.4580045425448
"24","107",6,45.4616387227463,-73.6424718992359,2,6.65119779890206,4.91256048303298,5.12959746550821,5.76515182278084,4.95785774444751,4.72273635977797,5.37647333830802,5.66287537628067,4970,4970,5808.85833333333,5970.54807692307,65,65,51.25,38.5576923076923,125,125,101.666666666667,81.0576923076923,0,0,0,0,30,30,44.5833333333333,60.0961538461538,30,30,33.75,42.8846153846154,0,0,33.3333333333333,50,0,0,2696.54589410512,3285.67132403777,0,0,25.9479373851845,26.6483369319138,0,0,48.257516293194,51.1278341988418,0,0,0,0,0,0,37.8068255822419,46.6262820842009,0,0,7.72392975816656,19.0032544644681,0,0,77.8498944161523,87.4474632195206
"25","107",6,45.4646412310931,-73.6429381261476,2,8.32044628672767,7.96343886953963,7.67406372211261,6.85604831021119,5.05480188109431,6.61793916207779,6.23336513629491,6.17168619902172,10231.2,10231.2,10231.2,10336.3307692308,10,10,10,9.61538461538462,0,0,0,5.38461538461538,0,0,0,0,175,175,175,154.615384615385,250,250,250,189.615384615385,35,35,35,73.0769230769231,0,0,0,1197.39326963698,0,0,0,11.9576931445562,0,0,0,24.3311741020137,0,0,0,0,0,0,0,35.6706909106797,0,0,0,92.0562815583976,0,0,0,70.8779249225547
"26","107",6,45.4659106140079,-73.6448404702391,2,5.81710507473668,6.16931954606705,6.26867711593007,6.78291895877747,5.9330400576951,6.18679039500769,5.90976613913939,6.14757098461714,10231.2,10702.65,10564.7846153846,11267.6711538462,10,5,5.76923076923077,6.05769230769231,0,7.5,5.76923076923077,6.44230769230769,0,0,0,0,175,115,126.153846153846,120,250,115,136.923076923077,145.576923076923,35,43.75,40.3846153846154,49.0384615384615,0,1028.13723305792,865.526866371146,2446.59619209848,0,4.08248290463863,4.00320384512718,5.63049630918828,0,8.66025403784439,7.5955452531275,11.9367835874356,0,0,0,0,0,40.6201920231798,40.628081737156,45.900574561742,0,99.498743710662,99.6146421118749,92.7819172193371,0,33.5099487714718,28.0224269158902,46.642554641326
"27","107",6,45.4643080638903,-73.6480052324956,2,8.37084742035667,9.5432873005067,9.37344402342723,8.23057420340423,5.75653900779813,6.90407897286345,7.04613382707872,6.98435061163731,8814.8,8814.8,8814.8,8698.75,25,25,25,30.4807692307692,55,55,55,47.3076923076923,0,0,0,0,60,60,60,62.4038461538462,85,85,85,86.25,90,90,90,83.8461538461539,0,0,0,1442.77011030048,0,0,0,20.8463006400914,0,0,0,15.856635230863,0,0,0,0,0,0,0,18.0817963008674,0,0,0,10.9309329024401,0,0,0,52.5489070483475
"28","107",6,45.4652026663659,-73.6427022410506,2,8.87565906115501,6.89145791935135,6.91665384851757,7.25948615908277,8.37132333967068,7.39700225812943,6.3102823230415,6.02575140782045,10231.2,10231.2,10231.2,10152.8,10,10,10,12.6041666666667,0,0,0,7.8125,0,0,0,0,175,175,175,159.791666666667,250,250,250,223.541666666667,35,35,35,39.375,0,0,0,2047.97544148756,0,0,0,13.9524108849885,0,0,0,30.5778784243801,0,0,0,0,0,0,0,40.6065492743675,0,0,0,72.946776964466,0,0,0,35.3797784532953
"29","107",6,45.4644195387158,-73.6422254200444,2,9.0354308440784,7.58478577300055,7.42661662408376,6.79585205991092,4.91249078649565,5.40237915184041,6.12657575535953,6.02981372136333,10231.2,10231.2,9855.4,9356.928,10,10,13.9285714285714,19.4,0,0,8.92857142857143,25,0,0,0,0,175,175,164.642857142857,138,250,250,234.285714285714,174,35,35,32.5,54.4,0,0,1406.11484594965,2251.90335920527,0,0,14.6993683051833,23.3133053015147,0,0,33.407655239053,50.5076272276105,0,0,0,0,0,0,38.7528800773015,57.4633867460536,0,0,58.7974732207334,102.539191113865,0,0,9.35414346693485,65.6571179907947
"30","107",6,45.4656179601537,-73.6426585286573,2,7.0710031362658,6.3644738887366,7.27299164061462,7.27097760601246,5.71248120916295,5.79822332971775,6.56822672625665,6.09250310100632,10231.2,10231.2,10231.2,11929.376,10,10,10,8.9,0,0,0,2.5,0,0,0,0,175,175,175,146.7,250,250,250,239,35,35,35,35.4,0,0,0,4111.10531909831,0,0,0,9.10763304002949,0,0,0,17.6776695296637,0,0,0,0,0,0,0,52.036192271557,0,0,0,59.3931900171069,0,0,0,12.8507920823137
