bird.num,motusTagID,dos,tspre,tspost,tsmax.dt,meanpre,meanpost,varpre,varpost,cpt,batch,postfilter,time,Dates,sunrise.UTC,cpt.sr,postfiltercol,postfilterlntyp
5,77881,197,9.7,19.4,15:21.8,0.70030359,1.481882442,0.099148387,0.744912475,05:06.0,6,good,9.083333333,2024-05-19,2024-05-19 9:22,-16.93394334,black,1
3,68913,165,7.3,0,30:15.2,0.760281952,0.696342061,0.138674367,0.098073421,07:36.3,2,bad,9.116666667,2023-04-05,2023-04-05 10:30,-82.67882,red,2
5,77881,191,9.7,9.7,28:31.8,0.74355038,0.983976002,0.115486999,0.477813125,07:35.9,6,good,9.116666667,2024-05-13,2024-05-13 9:28,-20.96831167,black,1
5,77881,195,0,9.7,40:08.7,0.483811833,1.099608213,0.063588634,0.319504722,07:13.4,6,good,9.116666667,2024-05-17,2024-05-17 9:24,-16.87647167,black,1
5,77881,196,9.7,9.7,17:09.1,0.748032718,1.391018556,0.131800693,0.716743969,07:22.4,6,good,9.116666667,2024-05-18,2024-05-18 9:23,-15.67623,black,1
5,77881,215,9.7,0,09:36.5,0.577572779,0.510092446,0.118735854,0.099102188,08:14.1,6,bad,9.133333333,2024-06-06,2024-06-06 9:09,-1.431093335,red,2
2,68907,159,7.3,7.3,08:22.4,0.535413182,0.534188608,0.077475353,0.129636114,09:49.9,1,bad,9.15,2023-03-16,2023-03-16 11:08,-118.568815,red,2
5,77881,183,0,9.7,37:31.6,0.592215057,1.286386595,0.094737896,0.582978779,11:44.7,6,good,9.183333333,2024-05-05,2024-05-05 9:38,-27.10524167,black,1
9,77895,2,9.7,9.7,09:55.1,0.695009817,0.78508283,0.10211661,0.180480129,13:18.0,7,good,9.216666667,2023-10-13,2023-10-13 11:09,-116.6324933,black,1
5,77881,210,0,9.7,11:47.0,0.463006232,0.53911084,0.088699382,0.114452332,14:17.4,6,good,9.233333333,2024-06-01,2024-06-01 9:11,2.356908333,black,1
5,77881,181,9.7,0,40:47.1,0.604482396,1.356049504,0.104828608,0.663247813,16:46.9,6,good,9.266666667,2024-05-03,2024-05-03 9:41,-24.90102,black,1
5,68925,5,7.3,0,03:01.3,0.633027295,0.847612512,0.10113589,0.191627977,18:42.0,4,good,9.3,2022-11-13,2022-11-13 11:53,-154.4171417,black,1
5,68915,153,7.3,3759.04,46:49.5,0.557641636,1.179735417,0.05736119,0.495124166,21:01.0,2,good,9.35,2023-03-27,2023-03-27 10:47,-86.33359667,black,1
5,77881,186,0,9.7,24:33.3,0.718102227,1.470348436,0.129460532,0.731426481,22:51.6,6,good,9.366666667,2024-05-08,2024-05-08 9:34,-11.940105,black,1
5,77881,174,0,9.7,19:26.1,0.542806342,0.948791955,0.085401195,0.325689393,23:20.5,6,good,9.383333333,2024-04-26,2024-04-26 9:52,-28.9243,black,1
5,77881,175,9.7,940.81,13:36.2,0.61116157,0.859302792,0.098429771,0.226838556,24:56.8,6,good,9.4,2024-04-27,2024-04-27 9:50,-25.73729167,black,1
3,77869,12,0,9.7,47:04.2,0.465549448,0.378535617,0.081217848,0.041242243,25:42.7,5,bad,9.416666667,2023-11-09,2023-11-09 11:47,-141.4050367,red,2
5,77881,177,0,9.7,22:34.4,0.569467227,0.764240092,0.078894247,0.146350557,26:22.4,6,good,9.433333333,2024-04-29,2024-04-29 9:47,-21.226075,black,1
9,90343,160,9.7,940.77,20:09.9,0.662057534,1.201500136,0.096842459,0.700877105,26:54.7,10,good,9.433333333,2025-04-08,2025-04-08 10:23,-56.90483,black,1
8,77904,5,0,0,28:42.6,0.375790676,0.345310505,0.052329264,0.045030737,28:22.4,8,bad,9.466666667,2023-10-27,2023-10-27 11:28,-120.4432383,red,2
5,68925,156,0,7.3,01:52.8,0.655470718,1.171912167,0.10717973,0.551757897,29:57.3,4,good,9.483333333,2023-04-13,2023-04-13 10:15,-45.64553167,black,1
5,77881,180,0,9.7,02:00.2,0.608181183,1.123086463,0.089432166,0.336679196,30:51.6,6,good,9.5,2024-05-02,2024-05-02 9:43,-12.27390667,black,1
