"","Disp.","Band","Species","Wing","Age","Aged","Sex","Sexed","Fat","Weight","Date","Time","Bander","Scribe","Net","Notes","Exported","Valid","Invalid","Errors","History","Age.1","Sex.1","Location","Status","Condition","Code","Program","F","T","R2","3","R4","R5","R6","7","UC","S","SL","TC","SC","SD","CE","TP","OT","AL","TA","Z","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","NA.15","NA.16","NA.17","NA.18","NA.19","NA.20","Replaced Band Number for Disposition 5 captures","DET Category Override","Aux Marker Type","Is Aux Marker Coded?","Aux Marker Code","Aux Marker Band Color","Aux Marker Code Color","Left Leg Color 1","Left Leg Color 2","Left Leg Color 3","R Leg Color 1","R Leg Color 2","R Leg Color 3","Last Bandit Export Timestamp","Count Bandit Exports","Creation Timestamp","Modify Timestamp","DET Category","To Be Deleted","Days since most recent prior capture","DET Date","Original Capture ID","NA.21","NA.22","NA.23","NA.24","NA.25","NA.26","NA.27","NA.28","NA.29","NA.30","NA.31","NA.32","NA.33","NA.34","NA.35","NA.36","NA.37","NA.38","Flags","Year","Season","week"
"51038","1","253123763","NOCA","90","0","1","5","1","0","41.1","2012-10-29","09:40","LIK","NAG","E1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/29/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",44
"51075","R","253123747","NOCA","93","2","1","4","1","0","43.6","2012-10-31","10:40","NIB","GEG","V1","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","8","10/31/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",44
"51107","1","253123765","NOCA","93","0","1","4","1","0","46.4","2012-11-07","09:10","LIF","SID","V1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/7/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51120","1","253123766","NOCA","88","2","1","5","1","0","42.7","2012-11-07","09:40","LIF","SID","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/7/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51128","R","253123746","NOCA","93","2","1","5","1","0","45.1","2012-11-07","10:00","NIB","SID","V5","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","13","11/7/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51141","1","253123767","NOCA","90","0","1","5","1","0","42.5","2012-11-07","10:30","LIF","SID","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/7/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51166","R","253123752","NOCA","89","0","1","5","1","1","45.5","2012-11-07","11:50","NIB","SID","V5","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","13","11/7/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51184","R","253123766","NOCA","89","2","1","5","1","0","42.8","2012-11-09","08:40","NIB","NIB","V3","JUV S2-S4-S6","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","2","11/9/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51188","1","253123768","NOCA","88","0","1","5","1","0","44.6","2012-11-09","08:50","LIF","SID","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/9/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",45
"51342","R","253123767","NOCA","90","0","1","5","1","0","43","2012-11-16","11:10","GEG","GEG","V5","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","9","11/16/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",46
